Accepted or not,timestamp,IP_SRC,IP_DST,PORT_SRC,PORT_DST
A,Fri May 17 15:26:30 2024,10.10.6.41,10.10.6.40,36232,5241
A,Fri May 17 15:26:31 2024,10.10.6.40,10.10.6.42,51210,5240
A,Fri May 17 15:26:31 2024,10.10.6.41,10.10.6.42,52616,5241
A,Fri May 17 15:26:33 2024,10.10.6.40,10.10.6.41,56014,5240
A,Fri May 17 15:26:40 2024,10.10.6.42,10.10.6.41,57628,5242
A,Fri May 17 15:26:40 2024,10.10.6.40,10.10.6.41,56016,5240
A,Fri May 17 15:26:42 2024,10.10.6.40,10.10.6.42,51216,5240
A,Fri May 17 15:26:43 2024,10.10.6.42,10.10.6.40,44374,5242
A,Fri May 17 15:26:45 2024,10.10.6.42,10.10.6.41,57632,5242
A,Fri May 17 15:26:46 2024,10.10.6.41,10.10.6.42,52618,5241
X,Fri May 17 15:26:48 2024,10.10.6.40,10.10.6.41,56020,5240
A,Fri May 17 15:26:51 2024,10.10.6.41,10.10.6.40,36238,5241
A,Fri May 17 15:26:54 2024,10.10.6.40,10.10.6.42,51220,5240
A,Fri May 17 15:26:57 2024,10.10.6.41,10.10.6.42,52622,5241
A,Fri May 17 15:26:58 2024,10.10.6.40,10.10.6.41,56024,5240
A,Fri May 17 15:26:59 2024,10.10.6.40,10.10.6.42,51224,5240
A,Fri May 17 15:26:59 2024,10.10.6.42,10.10.6.41,57634,5242
A,Fri May 17 15:27:00 2024,10.10.6.42,10.10.6.40,44380,5242
A,Fri May 17 15:27:05 2024,10.10.6.41,10.10.6.42,52624,5241
A,Fri May 17 15:27:07 2024,10.10.6.41,10.10.6.40,36244,5241
A,Fri May 17 15:27:10 2024,10.10.6.40,10.10.6.41,56028,5240
A,Fri May 17 15:27:12 2024,10.10.6.40,10.10.6.42,51228,5240
A,Fri May 17 15:27:14 2024,10.10.6.42,10.10.6.41,57638,5242
A,Fri May 17 15:27:14 2024,10.10.6.42,10.10.6.40,44384,5242
A,Fri May 17 15:27:22 2024,10.10.6.40,10.10.6.42,51230,5240
A,Fri May 17 15:27:22 2024,10.10.6.41,10.10.6.42,52628,5241
A,Fri May 17 15:27:26 2024,10.10.6.42,10.10.6.41,57642,5242
A,Fri May 17 15:27:27 2024,10.10.6.41,10.10.6.40,36248,5241
